satelite_id,Datetime,a0,a1,a2,IODEC,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,IRN Week,Spare2,User Range accurracy,Health,TGD,Spare3,t_tm
I09,2025-03-23 00:00:00,0.0001708907075226,4.3200998334209994e-11,0.0,0.0,-511.5,2.692969315838e-09,-0.5466231102581001,-1.6689300537110002e-05,0.00198230787646,1.5832483768459999e-06,6493.448385238999,0.0,-9.313225746155001e-08,-1.735233579558,7.078051567078001e-08,0.5047395857097,43.1875,-3.040640419084,-2.4886750918780002e-09,4.671623163285e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,12.0
I09,2025-03-23 02:00:00,0.0001712013036013,4.3087311496489994e-11,0.0,1.0,-514.5625,2.798688005161e-09,-0.02173713986198,-1.6752630472180002e-05,0.00197776092682,3.1031668186189997e-06,6493.437513351,7200.0,-1.3783574104309998e-07,-1.735251571987,5.960464477539e-08,0.5047428363137,-8.125,-3.040487437352,-2.517247710614e-09,4.693052627337e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,7212.0
I09,2025-03-23 04:00:00,0.0001715100370347,4.3087311496489994e-11,0.0,2.0,-555.125,2.9929818125630002e-09,0.5039692028088,-1.799687743187e-05,0.001971108024009,4.9285590648650005e-06,6493.421075821,14400.0,-1.825392246246e-07,-1.735270396817,-2.9802322387700004e-08,0.5047458645541,-68.75,-3.041148240374,-2.604394197758e-09,4.857345185067001e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,14412.0
I09,2025-03-23 06:00:00,0.00017181923612950002,4.2973624658769993e-11,0.0,3.0,-477.68750000000006,2.870119552e-09,1.026017792388,-1.5780329704280003e-05,0.001976124942303,5.7555735111239994e-06,6493.43986702,21600.0,-1.303851604462e-07,-1.73528976439,-7.450580596924e-08,0.5047493287441001,-98.875,-3.038150579326,-2.642967233051e-09,5.057353516217e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,21612.0
I09,2025-03-23 08:00:00,0.0001721289008856,4.2973624658769993e-11,0.0,4.0,-472.4375,2.870119552e-09,1.55163351021,-1.5627592802050003e-05,0.001976252649911,5.222856998443999e-06,6493.437244415,28800.0,-1.303851604462e-07,-1.735308106457,-1.639127731323e-07,0.5047529158193,-86.0625,-3.038725127236,-2.642967233051e-09,4.71805366873e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,28812.000000000004
I09,2025-03-23 10:00:00,0.0001724385656416,4.2973624658769993e-11,0.0,5.0,-417.375,3.012982645678e-09,2.08081602858,-1.364946365356e-05,0.0019781021401290002,2.797693014145e-06,6493.417039871,36000.0,7.450580596924e-09,-1.735326072554,-1.788139343262e-07,0.5047559879472,-13.375,-3.042862773048,-2.7015411014590003e-09,4.1716023354100007e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,36012.0
I09,2025-03-23 12:00:00,0.0001727491617203,4.2973624658769993e-11,0.0,6.0,-376.4375,3.1544171084200003e-09,2.607438874798,-1.2412667274480002e-05,0.0019801921444010002,2.596527338028e-06,6493.408082962,43200.0,6.332993507385e-08,-1.735345064156,-5.960464477539e-08,0.5047585070921999,-5.5,-3.044435149584,-2.787258957666e-09,3.84301721995e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,43212.0
I09,2025-03-23 14:00:00,0.0001730611547828,4.3087311496489994e-11,0.0,7.0,-403.875,2.9901245506900004e-09,3.131365470832,-1.320615410805e-05,0.001970856799744,-3.3900141716e-07,6493.431310653999,50400.0,5.960464477539e-08,-1.735365104671,-2.9802322387700004e-08,0.5047611637514,93.125,-3.043313015346,-2.8001166360970004e-09,3.796586714504e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,50412.0
I09,2025-03-23 16:00:00,0.0001733680255711,4.285993782104999e-11,0.0,8.0,-369.25,2.8115456835920004e-09,-2.626196471853,-1.215189695358e-05,0.001965380623005,-1.847743988037e-06,6493.44477272,57600.0,9.685754776001e-08,-1.735384482484,7.450580596924e-08,0.5047643382836,143.0625,-3.043894453599,-2.707255625206e-09,3.6001499606970004e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,57612.0
I09,2025-03-23 18:00:00,0.0001736786216497,4.285993782104999e-11,0.0,9.0,-442.1875,2.8672622901260002e-09,-2.104257317324,-1.4401972293850002e-05,0.001969942473806,-2.950429916382e-06,6493.426410675,64800.00000000001,-5.587935447693e-08,-1.735402464673,1.229345798492e-07,0.5047671295313,181.6875,-3.040793501758,-2.622966399936e-09,3.0215544312990004e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,64812.0
I09,2025-03-23 20:00:00,0.0001739873550832,4.285993782104999e-11,0.0,10.0,-458.1875,2.95869467008e-09,-1.582763510168,-1.5016645193100001e-05,0.001971403835341,-5.4426491260530004e-06,6493.409179688,72000.0,-7.450580596924e-08,-1.735420835998,4.4703483581540004e-08,0.5047692653917001,257.875,-3.037240843238,-2.620109138062e-09,2.7465429759680003e-10,2359.0,,,2.0,0.0,-1.862645149231e-09,,72012.0
